"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2023","72.315","72.314","72.314","72.314","","-5.24%"
"12/30/2022","76.315","76.315","76.315","76.315","","-8.96%"
"12/29/2022","83.830","83.830","83.830","83.830","","3.05%"
"12/28/2022","81.350","81.350","81.350","81.350","","1.63%"
"12/27/2022","80.045","80.045","80.045","80.045","","-3.53%"
"12/23/2022","82.975","82.975","82.975","82.975","","-9.75%"
"12/22/2022","91.940","91.940","91.940","91.940","","-5.94%"
"12/21/2022","97.750","97.750","97.750","97.750","","-7.51%"
"12/20/2022","105.690","105.690","105.690","105.690","","-2.63%"
"12/19/2022","108.545","108.545","108.545","108.545","","-5.98%"
"12/16/2022","115.450","115.450","115.450","115.450","","-14.33%"
"12/15/2022","134.765","134.765","134.765","134.765","","2.48%"
"12/14/2022","131.510","131.510","131.510","131.510","","-4.38%"
"12/13/2022","137.530","137.530","137.530","137.530","","0.69%"
"12/12/2022","136.590","136.590","136.590","136.590","","-1.82%"
"12/09/2022","139.115","139.115","139.115","139.115","","0.16%"
"12/08/2022","138.895","138.895","138.895","138.895","","-6.93%"
"12/07/2022","149.245","149.245","149.245","149.245","","7.77%"
"12/06/2022","138.490","138.490","138.490","138.490","","2.81%"
"12/05/2022","134.700","134.700","134.700","134.700","","-0.63%"
"12/02/2022","135.560","135.560","135.560","135.560","","-2.66%"
"12/01/2022","139.260","139.260","139.260","139.260","","-4.87%"
"11/30/2022","146.395","146.395","146.395","146.395","","10.67%"
"11/29/2022","132.286","132.286","132.286","132.286","","7.31%"
"11/28/2022","123.280","123.280","123.280","123.280","","-0.88%"
"11/25/2022","124.370","124.370","124.370","124.370","","-4.05%"
"11/23/2022","129.620","129.620","129.620","129.620","","8.34%"
"11/22/2022","119.640","119.640","119.640","119.640","","3.02%"
"11/21/2022","116.130","116.130","116.130","116.130","","0.54%"
"11/18/2022","115.510","115.510","115.510","115.510","","2.63%"
"11/17/2022","112.555","112.555","112.555","112.555","","-1.18%"
"11/16/2022","113.900","113.900","113.900","113.900","","-8.22%"
"11/15/2022","124.105","124.105","124.105","124.105","","9.15%"
"11/14/2022","113.705","113.705","113.705","113.705","","16.20%"
"11/11/2022","97.855","97.855","97.855","97.855","","-13.75%"
"11/10/2022","113.450","113.450","113.450","113.450","","0.27%"
"11/09/2022","113.145","113.145","113.145","113.145","","-4.23%"
"11/08/2022","118.145","118.145","118.145","118.145","","7.71%"
"11/07/2022","109.685","109.685","109.685","109.685","","-4.44%"
"11/04/2022","114.785","114.785","114.785","114.785","","-8.50%"
"11/03/2022","125.445","125.445","125.445","125.445","","-0.33%"
"11/02/2022","125.865","125.865","125.865","125.865","","8.32%"
"11/01/2022","116.195","116.195","116.195","116.195","","-5.80%"
"10/31/2022","123.350","123.350","123.350","123.350","","9.89%"
"10/28/2022","112.244","112.244","112.244","112.244","","4.52%"
"10/27/2022","107.385","107.385","107.385","107.385","","2.94%"
"10/26/2022","104.320","104.320","104.320","104.320","","4.53%"
"10/25/2022","99.795","99.795","99.795","99.795","","0.63%"
"10/24/2022","99.170","99.170","99.170","99.170","","-12.68%"
"10/21/2022","113.575","113.575","113.575","113.575","","-10.67%"
"10/20/2022","127.145","127.145","127.145","127.145","","13.01%"
"10/19/2022","112.510","112.510","112.510","112.510","","-0.63%"
"10/18/2022","113.220","113.220","113.220","113.220","","-11.53%"
"10/17/2022","127.980","127.980","127.980","127.980","","-9.87%"
"10/14/2022","141.995","141.995","141.995","141.995","","-7.68%"
"10/13/2022","153.810","153.810","153.810","153.810","","-3.98%"
"10/12/2022","160.190","160.190","160.190","160.190","","2.18%"
"10/11/2022","156.780","156.780","156.780","156.780","","1.73%"
"10/10/2022","154.120","154.120","154.120","154.120","","-1.33%"
"10/07/2022","156.205","156.205","156.205","156.205","","-11.10%"
"10/06/2022","175.710","175.710","175.710","175.710","","1.16%"
"10/05/2022","173.695","173.695","173.695","173.695","","7.25%"
"10/04/2022","161.950","161.950","161.950","161.950","","-4.68%"
"10/03/2022","169.910","169.910","169.910","169.910","","-10.01%"
"09/30/2022","188.800","188.800","188.800","188.800","","0.60%"
"09/29/2022","187.665","187.665","187.665","187.665","","-9.42%"
"09/28/2022","207.185","207.185","207.185","207.185","","11.33%"
"09/27/2022","186.100","186.100","186.100","186.100","","7.06%"
"09/26/2022","173.835","173.835","173.835","173.835","","-6.29%"
"09/23/2022","185.495","185.495","185.495","185.495","","-1.05%"
"09/22/2022","187.470","187.470","187.470","187.470","","-1.22%"
"09/21/2022","189.780","189.780","189.780","189.780","","-2.31%"
"09/20/2022","194.260","194.260","194.260","194.260","","6.58%"
"09/19/2022","182.260","182.260","182.260","182.260","","-2.95%"
"09/16/2022","187.795","187.795","187.795","187.795","","-12.36%"
"09/15/2022","214.285","214.285","214.285","214.285","0.01K","-1.65%"
"09/14/2022","217.880","217.880","217.880","217.880","","9.70%"
"09/13/2022","198.610","198.610","198.610","198.610","","4.21%"
"09/12/2022","190.590","190.590","190.590","190.590","","-7.97%"
"09/09/2022","207.090","207.090","207.090","207.090","","-6.10%"
"09/08/2022","220.540","220.540","220.540","220.540","","3.11%"
"09/07/2022","213.885","213.885","213.885","213.885","","-10.82%"
"09/06/2022","239.840","239.840","239.840","239.840","","11.73%"
"09/02/2022","214.665","214.665","214.665","214.665","","-11.66%"
"09/01/2022","243.005","243.005","243.005","243.005","","1.29%"
"08/31/2022","239.905","239.905","239.905","239.905","","-5.15%"
"08/30/2022","252.937","252.937","252.937","252.937","","-7.21%"
"08/29/2022","272.605","272.605","272.605","272.605","","-19.63%"
"08/26/2022","339.195","339.195","339.195","339.195","","5.53%"
"08/25/2022","321.415","321.415","321.415","321.415","","10.02%"
"08/24/2022","292.150","292.150","292.150","292.150","","8.59%"
"08/23/2022","269.050","269.050","269.050","269.050","","-2.78%"
"08/22/2022","276.750","276.750","276.750","276.750","","13.17%"
"08/19/2022","244.550","244.550","244.550","244.550","","1.47%"
